id,Brands,Model,Engines,Engine_capacity_in_cc,HorsePower_in_HP,HorsePower_in_HP_2,Max_speed_in_km/h,Time_to_100kmph_sec,Price_Min,Price_Max,Seats,Torque_in_Nm,Torque_in_Nm_2,Fuel_1,Fuel_2,Fuel_3
22,Nissan,GT-R,V6,3799,600,600,315.0,2.9,113000.0,113000.0,4,637,637,Petrol,,
23,Nissan,370Z,V6,3696,332,332,250.0,4.7,30000.0,30000.0,2,366,366,Petrol,,
24,Nissan,Z PROTO,V6,2998,400,400,290.0,4.1,40000.0,40000.0,2,475,475,Petrol,,
25,Nissan,ALTIMA,I4,2488,188,188,225.0,7.3,25000.0,25000.0,5,380,380,Petrol,,
26,Nissan,MAXIMA,V6,3498,300,300,240.0,5.8,35000.0,35000.0,5,354,354,Petrol,,
27,Nissan,SENTRA,I4,1998,149,149,200.0,8.2,20000.0,20000.0,5,240,240,Petrol,,
28,Nissan,ROGUE,I4,2488,201,201,200.0,7.5,28000.0,28000.0,5,270,270,Petrol,,
29,Nissan,PATHFINDER,V6,3498,284,284,225.0,6.5,35000.0,35000.0,7,351,351,Petrol,,
30,Nissan,FRONTIER,V6,3799,310,310,180.0,6.8,30000.0,30000.0,5,381,381,Petrol,,
31,Nissan,TITAN,V8,5598,400,400,200.0,5.9,40000.0,40000.0,5,560,560,Petrol,,
32,Aston martin,VALKYRIE,V12,6496,1160,1160,402.0,2.5,3200000.0,3200000.0,2,900,900,Hybrid,,
33,Aston martin,VALHALLA,V8,3996,1000,1000,362.0,2.5,1100000.0,1100000.0,2,1000,1000,Hybrid,,
34,Aston martin,DBS SUPERLEGGERA,V12,5204,715,715,340.0,3.4,316000.0,316000.0,2,900,900,Petrol,,
35,Aston martin,DB11,V12,5204,600,600,322.0,3.9,208000.0,208000.0,4,700,700,Petrol,,
36,Aston martin,VANTAGE ,V8,3996,503,503,313.0,3.6,142000.0,142000.0,2,685,685,Petrol,,
37,Aston martin,DBX,V8,3996,542,542,291.0,4.5,189000.0,189000.0,5,700,700,Petrol,,
38,Aston martin,RAPIDE AMR,V12,5935,580,580,328.0,4.2,240000.0,240000.0,4,630,630,Petrol,,
39,Aston martin,VANQUISH,V12,5935,580,580,324.0,3.6,294000.0,294000.0,2,630,630,Petrol,,
40,Aston martin,LAGONDA TARAF,V12,5935,540,540,314.0,4.2,1100000.0,1100000.0,4,630,630,Petrol,,
41,Aston martin,VICTOR,V12,5204,836,836,320.0,2.8,1300000.0,1300000.0,2,821,821,Petrol,,
42,Lamborghini,SIAN,V12,6498,819,819,350.0,2.8,2800000.0,2800000.0,2,720,720,Hybrid,,
43,Lamborghini,AVENTADOR SVJ,V12,6498,759,759,350.0,2.8,518000.0,518000.0,2,720,720,Petrol,,
44,Lamborghini,HURACAN PERFORMANTE,V10,5204,640,640,325.0,2.9,274000.0,274000.0,2,600,600,Petrol,,
45,Lamborghini,HURACAN EVO,V10,5204,640,640,325.0,2.9,261000.0,261000.0,2,600,600,Petrol,,
46,Lamborghini,AVENTADOR SV,V12,6498,740,740,350.0,2.8,493000.0,493000.0,2,690,690,Petrol,,
47,Lamborghini,URUS ,V8,3996,641,641,305.0,3.6,211000.0,211000.0,5,850,850,Petrol,,
48,Lamborghini,HURACAN SPYDER,V10,5204,610,610,325.0,3.4,287000.0,287000.0,2,600,600,Petrol,,
49,Lamborghini,AVENTADOR ROADSTER,V12,6498,700,700,350.0,3.0,445000.0,445000.0,2,690,690,Petrol,,
50,Lamborghini,HURACAN  PERFORMANTE SPYDER,V10,5204,640,640,325.0,3.1,308000.0,308000.0,2,600,600,Petrol,,
51,Lamborghini,AVENTADOR S,V12,6498,740,740,350.0,2.9,421000.0,421000.0,2,690,690,Petrol,,
52,Lamborghini,HURACAN EVO SPYDER,V10,5204,640,640,325.0,3.1,287000.0,287000.0,2,600,600,Petrol,,
53,Lamborghini,URUS PERFORMANTE,V8,3996,641,641,305.0,3.3,242000.0,242000.0,5,850,850,Petrol,,
54,Lamborghini,AVENTADOR ULTIMAE,V12,6498,769,769,355.0,2.8,545000.0,545000.0,2,720,720,Petrol,,
55,Lamborghini,HURACAN EVO RWD,V10,5204,610,610,325.0,3.3,258000.0,258000.0,2,560,560,Petrol,,
56,Lamborghini,AVENTADOR SVJ ROADSTER,V12,6498,759,759,350.0,2.9,573000.0,573000.0,2,720,720,Petrol,,
57,Lamborghini,URUS S,V8,3996,671,671,305.0,3.3,263000.0,263000.0,5,850,850,Petrol,,
58,Lamborghini,HURACAN STO,V10,5204,640,640,325.0,3.0,327000.0,327000.0,2,565,565,Petrol,,
59,Lamborghini,AVENTADOR LP 780-4 ULTIMATE,V12,6498,769,769,355.0,2.8,545000.0,545000.0,2,720,720,Petrol,,
60,Lamborghini,HURACAN EVO RWD SPYDER,V10,5204,610,610,325.0,3.3,273000.0,273000.0,2,600,600,Petrol,,
61,Lamborghini,AVENTADOR SVJ XAGO,V12,6498,759,759,350.0,2.9,603000.0,603000.0,2,720,720,Petrol,,
62,Lamborghini,URUS GRAPHITE CAPSULE,V8,3998,641,641,305.0,3.3,253000.0,253000.0,5,850,850,Petrol,,
63,Lamborghini,HURACAN STO EVO,V10,5204,640,640,325.0,3.0,342000.0,342000.0,2,565,565,Petrol,,
64,Lamborghini,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,6498,769,769,355.0,2.8,573000.0,573000.0,2,720,720,Petrol,,
65,Rolls royce ,GHOST,V12,6592,591,591,250.0,4.8,332000.0,332000.0,5,850,850,Petrol,,
66,Rolls royce,WRAITH,V12,6592,624,624,250.0,4.4,330000.0,330000.0,4,870,870,Petrol,,
67,Rolls royce,DAWN,V12,6592,624,624,250.0,4.9,360000.0,360000.0,4,870,870,Petrol,,
68,Rolls royce,CULLINAN,V12,6749,563,563,250.0,5.2,325000.0,325000.0,5,850,850,Petrol,,
69,Rolls royce,PHANTOM EXTENDED,V12,6749,563,563,250.0,5.3,500000.0,500000.0,5,900,900,Petrol,,
70,Rolls royce,GHOST EXTENDED,V12,6592,591,591,250.0,4.8,370000.0,370000.0,5,850,850,Petrol,,
71,Rolls royce,WRAITH BLACK BADGE,V12,6592,624,624,250.0,4.3,360000.0,360000.0,4,870,870,Petrol,,
72,Rolls royce,DAWN BLACK BADGE,V12,6592,624,624,250.0,4.8,390000.0,390000.0,4,870,870,Petrol,,
73,Rolls royce,CULLINAN BLACK BADGE,V12,6749,563,563,250.0,5.1,350000.0,350000.0,5,850,850,Petrol,,
74,Rolls royce,PHANTOM COUPE,V12,6749,563,563,250.0,5.3,450000.0,450000.0,4,870,870,Petrol,,
75,Rolls royce,GHOST COUPE,V12,6592,591,591,250.0,4.8,340000.0,340000.0,4,850,850,Petrol,,
76,Rolls royce,WRAITH COUPE,V12,6592,624,624,250.0,4.4,330000.0,330000.0,4,870,870,Petrol,,
77,Rolls royce,DAWN CONVERTIBLE,V12,6592,624,624,250.0,4.9,380000.0,380000.0,4,870,870,Petrol,,
78,Rolls royce,CULLINAN SUV,V12,6749,563,563,250.0,5.2,320000.0,320000.0,5,850,850,Petrol,,
79,Mercedes,BENZ S-CLASS S 580,V8,3982,496,496,250.0,4.4,116000.0,116000.0,5,700,700,Petrol,,
80,Mercedes,BENZ E-CLASS E 63 S,V8,3982,603,603,250.0,3.4,104000.0,104000.0,5,850,850,Petrol,,
81,Mercedes,BENZ CLA 45 AMG,I4,1991,382,382,250.0,4.1,53000.0,53000.0,5,500,500,Petrol,,
82,Mercedes,BENZ GLE 63 S,V8,3982,603,603,250.0,4.2,113000.0,113000.0,5,850,850,Petrol,,
83,Mercedes,BENZ S-CLASS S 500,V6,2996,429,429,250.0,4.9,109000.0,109000.0,5,700,700,Petrol,,
84,Mercedes,BENZ E-CLASS E 450 ,V6,2996,362,362,250.0,5.2,62000.0,62000.0,5,500,500,Petrol,,
85,Mercedes,BENZ CLS 450,V6,2996,362,362,250.0,5.2,70000.0,70000.0,5,500,500,Petrol,,
86,Mercedes,BENZ GT 53,V6,2996,429,429,250.0,4.5,99000.0,99000.0,5,700,700,Petrol,,
87,Mercedes,BENZ GLE 450,V6,2996,362,362,250.0,5.5,63000.0,63000.0,5,500,500,Petrol,,
88,Mercedes,BENZ A-CLASS A 45 S,I4,1991,416,416,250.0,3.9,53000.0,53000.0,5,500,500,Petrol,,
89,Mercedes,BENZ C-CLASS C 43,V6,2996,402,402,250.0,4.7,52000.0,52000.0,5,520,520,Petrol,,
90,Mercedes,BENZ E-CLASS E 350,I4,1991,255,255,250.0,5.7,49000.0,49000.0,5,500,500,Petrol,,
91,Mercedes,BENZ GLE 350 ,I4,1991,255,255,250.0,6.1,53000.0,53000.0,5,500,500,Petrol,,
92,Mercedes,BENZ GLC 43,V6,2996,402,402,250.0,4.7,54000.0,54000.0,5,520,520,Petrol,,
93,Mercedes,BENZ GLA 45,I4,1991,382,382,250.0,4.3,48000.0,48000.0,5,500,500,Petrol,,
94,Mercedes,BENZ GLC 350 ,I4,1991,255,255,250.0,6.1,46000.0,46000.0,5,500,500,Petrol,,
95,Mercedes,BENZ GLE 53,V6,2996,429,429,250.0,5.2,71000.0,71000.0,5,620,620,Petrol,,
96,Mercedes,BENZ S-CLASS S 350,I4,1991,255,255,250.0,6.5,90000.0,90000.0,5,500,500,Petrol,,
97,Mercedes,BENZ EQS 53,ELECTRIC MOTOR,0,751,751,250.0,3.4,102000.0,102000.0,5,950,950,Electric,,
98,Mercedes,BENZ MAYBACH S 680,V12,5980,630,630,250.0,4.7,200000.0,200000.0,5,1000,1000,Petrol,,
99,Bmw,M5 CS,V8,4395,627,627,305.0,3.0,142000.0,142000.0,5,750,750,Petrol,,
100,Bmw,M4 GTS,I6,2993,493,493,305.0,3.7,133000.0,133000.0,4,600,600,Petrol,,
101,Bmw,M3 COMPETITION,I6,2993,503,503,285.0,3.5,76000.0,76000.0,5,650,650,Petrol,,
102,Bmw,M2 CS,I6,2993,444,444,280.0,4.0,83000.0,83000.0,4,550,550,Petrol,,
103,Bmw,X5 M COMPETITION,V8,4935,523,523,285.0,4.1,114000.0,114000.0,5,750,750,Petrol,,
104,Bmw,X3 M COMPETITION,I6,2993,503,503,285.0,4.1,69000.0,69000.0,5,650,650,Petrol,,
105,Bmw,M8 GRAN COUPE,V8,4395,523,523,305.0,3.3,146000.0,146000.0,5,750,750,Petrol,,
106,Bmw,M850i DRIVE COUPE,V8,4935,523,523,285.0,3.7,108000.0,108000.0,4,750,750,Petrol,,
107,Rolls royce,DAWN BLACK BADGE VOLANTE,V12,6592,563,563,250.0,4.8,398000.0,398000.0,4,840,840,Petrol,,
108,Rolls royce,CULLINAN BLACK BADGE SUV,V12,6749,563,563,250.0,5.1,381000.0,381000.0,5,850,850,Petrol,,
109,Rolls royce,PHATOM TRANQUILITY,V12,6749,563,563,250.0,5.3,475000.0,475000.0,5,900,900,Petrol,,
110,Rolls royce,GHOST ZENITH,V12,6749,563,563,250.0,4.9,335000.0,335000.0,5,900,900,Petrol,,
111,Rolls royce,WRAITH EAGLE VIII,V12,6592,623,623,250.0,4.5,349000.0,349000.0,4,800,800,Petrol,,
112,Rolls royce,PHATOM ORCHID,V12,6749,563,563,250.0,5.3,495000.0,495000.0,5,900,900,Petrol,,
113,Rolls royce,GHOST AZURE,V12,6749,563,563,250.0,4.9,355000.0,355000.0,5,900,900,Petrol,,
114,Rolls royce,WRAITH KRYPTOS,V12,6592,623,623,250.0,4.5,369000.0,369000.0,4,800,800,Petrol,,
115,Rolls royce,DAWN SILVER BULLET,V12,6592,563,563,250.0,4.8,418000.0,418000.0,4,840,840,Petrol,,
116,Rolls royce,CULLINAN FUX ORANGE,V12,6749,563,563,250.0,5.1,401000.0,401000.0,5,850,850,Petrol,,
117,Rolls royce,PHANTOM CELESTIAL,V12,6749,563,563,250.0,5.3,515000.0,515000.0,5,900,900,Petrol,,
118,Rolls royce,GHOST MYSORE,V12,6749,563,563,250.0,4.9,375000.0,375000.0,5,900,900,Petrol,,
119,Rolls royce,WRAITH LUMINARY,V12,6592,623,623,250.0,4.5,389000.0,389000.0,4,800,800,Petrol,,
120,Rolls royce,DAWN BLACK BADGE ADAMAS,V12,6592,563,563,250.0,4.8,439000.0,439000.0,4,840,840,Petrol,,
121,Rolls royce,CULLINAN RED DIAMOND,V12,6749,563,563,250.0,5.1,421000.0,421000.0,5,850,850,Petrol,,
122,Audi,R8 V10 PLUS,V10,5204,610,610,330.0,3.2,194000.0,194000.0,2,560,560,Petrol,,
123,Audi,RS7 SPORTBACK,V8,3993,591,591,305.0,3.6,114000.0,114000.0,5,800,800,Petrol,,
124,Audi,S8,V8,3993,563,563,305.0,4.3,101000.0,101000.0,5,800,800,Petrol,,
125,Audi,RS6 AVANT,V8,3993,591,591,305.0,3.6,109000.0,109000.0,5,800,800,Petrol,,
126,Audi,S7 SPORTBACK,V8,3993,563,563,305.0,4.3,96000.0,96000.0,5,650,650,Petrol,,
127,Audi,A8,V6,2995,335,335,250.0,5.7,86000.0,86000.0,5,600,600,Petrol,,
128,Audi,S5 COUPE,V6,2995,349,349,250.0,4.8,64000.0,64000.0,4,500,500,Petrol,,
129,Audi,SQ5,V6,2995,349,349,250.0,5.4,62000.0,62000.0,5,500,500,Petrol,,
130,Audi,S4 SEDAN,V6,2995,349,349,250.0,4.7,59000.0,59000.0,5,500,500,Petrol,,
131,Audi,S3 SEDAN,I4,1984,306,306,250.0,4.8,52000.0,52000.0,5,400,400,Petrol,,
132,Audi,Q7,V6,2995,335,335,250.0,6.3,60000.0,60000.0,7,600,600,Petrol,,
133,Audi,Q5,I4,1984,248,248,240.0,6.3,43000.0,43000.0,5,500,500,Petrol,,
134,Audi,A7,V6,2995,335,335,250.0,5.7,68000.0,68000.0,5,600,600,Petrol,,
135,Audi,A6,V6,2995,335,335,250.0,5.7,58000.0,58000.0,5,600,600,Petrol,,
136,Audi,A5 COUPE,I4,1984,248,248,240.0,6.3,45000.0,45000.0,4,500,500,Petrol,,
137,Audi,A4,I4,1984,248,248,240.0,6.5,39000.0,39000.0,5,400,400,Petrol,,
138,Audi,Q3,I4,1984,248,248,230.0,7.3,35000.0,35000.0,5,400,400,Petrol,,
139,Audi,E-TRON,ELECTRIC ,0,402,402,200.0,5.5,75000.0,75000.0,5,664,664,Electric,,
140,Audi,E-TRON SPORTBACK,ELECTRIC,0,402,402,200.0,5.5,78000.0,78000.0,5,664,664,Electric,,
141,Audi,TT COUPE,I4,1984,248,248,250.0,5.3,49000.0,49000.0,2,400,400,Petrol,,
142,Bmw,I8 ROADSTER,ELECTRIC MOTOR,0,369,369,250.0,4.4,165000.0,165000.0,2,570,570,Hybrid,,
143,Bmw,330i,I4,1998,255,255,250.0,5.6,45000.0,45000.0,5,400,400,Petrol,,
144,Bmw,M340i XDRIVE,I6,2998,382,382,250.0,4.1,57000.0,57000.0,5,500,500,Petrol,,
145,Bmw,430i COUPE,I4,1998,255,255,250.0,5.8,48000.0,48000.0,4,400,400,Petrol,,
146,Bmw,M4 COMPETITION,I6,2993,503,503,290.0,3.8,81000.0,81000.0,4,650,650,Petrol,,
147,Bmw,530i,I4,1998,248,248,250.0,5.9,57000.0,57000.0,5,400,400,Petrol,,
148,Bmw,M550i XDRIVE,V8,4395,523,523,250.0,3.6,78000.0,78000.0,5,650,650,Petrol,,
149,Bmw,118i,I3,1499,136,136,213.0,8.5,32000.0,32000.0,5,220,220,Petrol,,
150,Bmw,128ti,I4,1998,261,261,250.0,6.1,42000.0,42000.0,5,400,400,Petrol,,
151,Bmw,M135i XDRIVE,I4,1998,302,302,250.0,4.8,30000.0,30000.0,5,450,450,Petrol,,
152,Bmw,116D,I3,1496,116,116,200.0,10.3,30000.0,30000.0,5,280,280,Diesel,,
153,Bmw,120D XDRIVE,I4,1995,190,190,230.0,6.9,38000.0,38000.0,5,400,400,Diesel,,
154,Bmw,116i,I3,1499,109,109,200.0,10.9,28000.0,28000.0,5,200,200,Petrol,,
155,Bmw,118D,I4,1995,150,150,216.0,8.4,34000.0,34000.0,5,380,380,Diesel,,
156,Bmw,120i,I4,1998,178,178,230.0,7.1,37000.0,37000.0,5,300,300,Petrol,,
157,Bmw,125i,I4,1998,224,224,240.0,6.1,42000.0,42000.0,5,400,400,Petrol,,
158,Bmw,114D,I3,1496,95,95,185.0,12.2,27000.0,27000.0,5,270,270,Diesel,,
159,Bmw,114i,I4,1598,102,102,195.0,11.2,26000.0,26000.0,5,200,200,Petrol,,
160,Bmw,125D,I4,1995,224,224,240.0,6.3,44000.0,44000.0,5,400,400,Diesel,,
161,Bmw,118i XDRIVE,I3,1499,136,136,211.0,8.9,34000.0,34000.0,5,250,250,Petrol,,
162,Bmw,116D EFFICIENTDYNAMICS,I3,1496,116,116,200.0,10.9,30000.0,30000.0,5,270,270,Diesel,,
163,Bmw,118i SPORTLINE,I3,1499,136,136,213.0,8.5,35000.0,35000.0,5,250,250,Petrol,,
164,Bmw,118i M SPORT,I3,1499,136,136,213.0,8.5,37000.0,37000.0,5,250,250,Petrol,,
165,Bmw,120i M SPORT,I4,1998,178,178,230.0,7.1,39000.0,39000.0,5,300,300,Petrol,,
166,Bmw,116i EFFICIENTDYNAMICS,I4,1598,109,109,195.0,10.9,29000.0,29000.0,5,200,200,Petrol,,
167,Bmw,116D ADVANTAGE,I3,1496,116,116,200.0,10.5,31000.0,31000.0,5,270,270,Diesel,,
168,Bmw,120D EFFICIENTDYNAMICS,I4,1995,163,163,225.0,7.7,39000.0,39000.0,5,400,400,Diesel,,
169,Bmw,118i SHADOW LINE,I3,1499,136,136,213.0,8.5,36000.0,36000.0,5,250,250,Petrol,,
170,Bmw,118D SPORT LINE,I4,1995,150,150,216.0,8.4,36000.0,36000.0,5,380,380,Diesel,,
171,Bmw,120i XDRIVE,I4,1998,178,178,230.0,7.2,40000.0,40000.0,5,300,300,Petrol,,
172,Bmw,114D SPORT LINE,I3,1496,95,95,185.0,12.2,28000.0,28000.0,5,270,270,Diesel,,
173,Bmw,118i URBAN LINE,I3,1499,136,136,213.0,8.5,35000.0,35000.0,5,250,250,Petrol,,
174,Volvo,XC90,I6,1969,247,247,200.0,6.5,60000.0,60000.0,7,400,400,Petrol,Diesel,
175,Volvo,XC60,I6,1969,247,247,220.0,6.4,55000.0,55000.0,5,400,400,Petrol,Diesel,
176,Volvo,S90,I6,1969,295,295,250.0,5.9,60000.0,60000.0,5,400,400,Petrol,Diesel,
177,Kia,SPORTAGE LX,I4,2480,187,187,200.0,8.0,27000.0,27000.0,5,250,250,Petrol,,
178,Kia,SPORTAGE EX,I4,2480,187,187,200.0,8.0,30000.0,30000.0,5,250,250,Petrol,,
179,Kia,SPORTAGE GT-LINE,I4,2480,187,187,200.0,8.0,32000.0,32000.0,5,350,350,Petrol,,
180,Kia,SPORTAGE SX TURBO,I4,1998,240,240,210.0,6.7,36000.0,36000.0,5,400,400,Petrol,,
181,Kia,SPORTAGE NIGHTFALL EDITION,I4,2480,187,187,200.0,8.0,33000.0,33000.0,5,350,350,Petrol,,
182,Honda,CIVIC TYPE R,I4,1996,315,315,272.0,5.7,44000.0,44000.0,5,400,400,Petrol,,
183,Kia,SPORTAGE PHEV,I4 + ELECTRIC,0,261,261,180.0,8.0,41000.0,41000.0,5,350,350,Plug-in,Hybrid,
184,Kia,SPORTAGE 2024(BASE MODEL),I4,2480,187,187,200.0,8.0,26000.0,26000.0,5,250,250,Petrol,,
185,Kia,SPORTAGE 2024(TOP TRIM),I4,1998,240,240,210.0,6.7,38000.0,38000.0,5,400,400,Petrol,,
186,Kia,SPORTAGE 2024(BASE AWD),I4,2480,187,187,200.0,8.3,29000.0,29000.0,5,250,250,Petrol,AWD,
187,Kia,SPORTAGE X-LINE,I4,2480,187,187,200.0,8.0,32500.0,32500.0,5,350,350,Petrol,,
188,Kia,SPORTAGE 2024(S TRIM),I4,2480,187,187,200.0,8.2,28000.0,28000.0,5,250,250,Petrol,,
189,Honda,ACCORD,I4,1498,192,192,201.0,7.1,29400.0,29400.0,5,370,370,Petrol,,
190,Kia,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,0,227,227,180.0,8.0,37000.0,37000.0,5,350,350,Hybrid,,
191,Kia,SPORTAGE 2024(PLUG-IN HYBRID AWD),I4 + ELECTRIC,0,261,261,180.0,7.9,42000.0,42000.0,5,350,350,Plug-in,Hybrid,
192,Kia,SPORTAGE 2024(X-PRO),I4,2480,187,187,200.0,8.1,36000.0,36000.0,5,400,400,Petrol,,
193,Kia,SPORTAGE 2024(X-PRO PRESTIGE),I4,2480,187,187,200.0,8.1,38000.0,38000.0,5,400,400,Petrol,,
194,Kia,SPORTAGE 2024(SX TURBO AWD),I4,1998,240,240,210.0,6.5,40000.0,40000.0,5,400,400,Petrol,AWD,
195,Kia  ,SPORTAGE 2024(BASE FWD),I4,2480,187,187,200.0,8.5,26500.0,26500.0,5,250,250,Petrol,,
196,Honda,CR-V,I4,1498,190,190,186.0,8.2,30000.0,30000.0,5,400,400,Petrol,Hybrid,
197,Honda,PILOT,V6,3471,285,285,209.0,6.3,40000.0,40000.0,8,360,360,Petrol,,
198,Honda,CIVIC HATCHBACK,I4,1498,180,180,220.0,6.8,26350.0,26350.0,5,300,300,Petrol,,
199,Toyota,CAMRY,V6,3500,301,301,220.0,6.0,27000.0,27000.0,5,250,250,Petrol,Hybrid,
200,Toyota,COROLLA,I4,1798,139,139,180.0,9.4,22500.0,22500.0,5,200,200,Petrol,Hybrid,
201,Toyota,PRIUS,I4,1798,121,121,180.0,10.5,26700.0,26700.0,5,142,142,Hybrid,,
202,Toyota,RAV4,I4,2494,203,203,200.0,8.1,27100.0,27100.0,5,400,400,Petrol,Hybrid,
203,Toyota,HIGHLANDER,V6,3456,295,295,220.0,7.2,38400.0,38400.0,7,370,370,Petrol,Hybrid,
204,Toyota,4RUNNER ,V6,3956,270,270,200.0,7.5,37400.0,37400.0,5,400,400,Petrol,,
205,Toyota,TACOMA,I4,2694,159,159,180.0,9.5,26400.0,26400.0,5,400,400,Petrol,,
206,Toyota,TUNDRA,V8,5663,381,381,220.0,6.7,39900.0,39900.0,5,650,650,Petrol,,
207,Toyota,AVALON,V6,3456,301,301,220.0,6.9,41400.0,41400.0,5,400,400,Petrol,,
208,Toyota,MIRAI,I4,1798,151,151,180.0,9.2,52400.0,52400.0,5,335,335,Hydrogen,,
209,Toyota,SIENNA,V6,2494,245,245,190.0,8.0,44150.0,44150.0,7,360,360,Petrol,Hybrid,
210,Toyota,VENZA,I4,2494,219,219,200.0,7.5,33400.0,33400.0,5,400,400,Hybrid,,
211,Toyota,HIGHLANDER HYBRID,V6,3456,240,240,220.0,8.2,40400.0,40400.0,7,350,350,Hybrid,,
212,Toyota,LAND CRUISER PRADO,V6,3956,282,282,200.0,7.2,49400.0,49400.0,7,450,450,Petrol,Diesel,
213,Toyota,TUNDRA HYBRID,V6,3456,344,344,220.0,6.2,43400.0,43400.0,5,650,650,Hybrid,,
214,Toyota,YARIS,I4,1496,106,106,180.0,11.2,18400.0,18400.0,5,150,150,Petrol,,
215,Toyota,C-HR,I4,1986,144,144,200.0,10.2,24400.0,24400.0,5,250,250,Petrol,Hybrid,
216,Toyota,BZ4X,ELECTRIC,0,218,218,200.0,7.5,43400.0,43400.0,5,330,330,Electric,,
217,Toyota,CROWN,HYBRID,2494,236,236,200.0,7.6,38400.0,38400.0,5,400,400,Hybrid,,
218,Toyota,MR2,I4,1986,168,168,200.0,6.9,29000.0,29000.0,2,400,400,Petrol,,
219,Toyota,CELICA,I4,1986,140,140,200.0,8.5,25000.0,25000.0,5,250,250,Petrol,,
220,Honda,CITY,I4,1497,119,119,180.0,10.2,15400.0,15400.0,5,145,145,Petrol,Hybrid,
221,Honda,CIVIC,I4,1996,158,158,200.0,8.5,20400.0,20400.0,5,400,400,Petrol,,
222,Hyundai,I10,"1.2L,4-CYLINDER,INLINE-4(I4)",1197,87,87,160.0,12.2,12400.0,12400.0,5,120,120,Petrol,,
223,Hyundai,I20,"1.4L,4-CYLINDER,INLINE-4(I4)",1396,99,99,180.0,10.5,15400.0,15400.0,5,250,250,Petrol,Hybrid,
224,Hyundai,ELANTRA,"2.0L,4-CYLINDER,INLINE-4(I4)",1999,147,147,200.0,9.5,18400.0,18400.0,5,250,250,Petrol,Hybrid,
225,Mahindra,XUV500,"2.2L,4-CYLINDER,INLINE-4(I4)",2179,155,155,180.0,10.5,18400.0,18400.0,7,400,400,Diesel,,
226,Mahindra,SCORPIO,"2.2L,4-CYLINDER,INLINE-4(I4)",2179,140,140,160.0,11.2,16400.0,16400.0,7,280,280,Diesel,,
227,Mahindra,THAR,"2.0L,4-CYLINDER,INLINE-4(I4)",1997,150,150,180.0,10.5,20400.0,20400.0,4,320,320,Petrol,Diesel,
228,Maruti suzuki,SWIFT,"1.2L,4-CYLINDER,INLINE-4(I4)",1197,83,83,160.0,12.2,10400.0,10400.0,5,113,113,Petrol,,
